class_one,class_two,class_three,Job_name,job_company,low_salary,job_release_time,0,job_edu,job_area,job_welfare,second_time,,
技术,后端开发,Java,中级java工程师,INK 银客集团,15,2017/11/6 0:00,3, 本科,北京,"“七险一金,16薪考核,弹性工作,极客牛人”",1509897600,,
技术,后端开发,Java,JAVA开发工程师,贝米钱包,15,2017/11/8 16:34,0, 本科,上海,"“商业保险,年度旅游,带薪年病假,弹性上班制”",1510130040,,
技术,后端开发,Java,Java开发工程师,拉勾网,15,2017/11/8 10:26,3, 本科,北京,“技术挑战与个人成长空间”,1510107960,,
技术,后端开发,Java,JAVA,曙奇互娱,13,2017/11/8 15:19,3, 本科,上海,"“五险一金,年底双薪,定期旅游,定期体检”",1510125540,,
技术,后端开发,Java,Java开发,泛微,15,2017/11/8 10:46,3, 本科,上海,“一日四餐 一年加薪两次 绩效奖金 年终奖”,1510109160,,
技术,后端开发,Java,Java开发工程师,中金支付有限公司,10,2017/11/2 0:00,1, 本科,北京,“绩效奖金 带薪年假 免费体检 补充医疗”,1509552000,,
技术,后端开发,Java,Java开发,灿福科技,12,2017/11/8 18:36,3, 本科,上海,"“技术控,领导幽默,年轻小伙伴,福利多多”",1510137360,,
技术,后端开发,Java,Java研发,上海宏鹿信息技术服务有限公司,15,2017/11/8 18:56,3, 本科,上海,"“发展空间大,年终奖”",1510138560,,
技术,后端开发,Java,java开发工程师,小米,18,2017/11/8 18:02,3, 本科,北京,"“餐补班车,期权激励,年终奖金,补充医疗”",1510135320,,
技术,后端开发,Java,java开发工程师,尚德机构,15,2017/11/8 13:30,3, 本科,武汉,“团队氛围好 发展空间大”,1510119000,,
技术,后端开发,Java,Java开发工程师,有鱼金融科技,16,2017/11/8 8:57,3, 本科,上海,“技术大牛、扁平化管理、高速发展互联网公司”,1510102620,,
技术,后端开发,Java,JAVA工程师,桔子分期,8,2017/11/8 18:24,3, 本科,大连,"“五险一金,发展空间,扁平管理,弹性工作”",1510136640,,
技术,后端开发,Java,Java开发工程师,CLPS,14,2017/11/8 17:14,3, 本科,广州,“金融项目”,1510132440,,
技术,后端开发,Java,JAVA工程师,51社保网,18,2017/11/8 15:57,5, 本科,北京,"“技术大咖,弹性工作,地铁周边,七险一金”",1510127820,,
技术,后端开发,Java,Java开发,文思海辉,10,2017/11/8 15:29,3, 大专,杭州,"“大平台,六险一金,晋升空间大,学习机会多”",1510126140,,
技术,后端开发,Java,Java工程师,拉勾网,15,2017/11/6 0:00,3, 本科,北京,“快速发展的业务和足够的技术挑战”,1509897600,,
技术,后端开发,Java,java开发,泛微,12,2017/11/8 10:46,1, 本科,上海,“年终奖一年加薪两次绩效奖金一日四餐”,1510109160,,
技术,后端开发,Java,JAVA开发工程师,尚德机构,15,2017/11/8 11:38,1, 本科,武汉,“向上空间”,1510112280,,
技术,后端开发,Java,Java开发工程师,51社保网,18,2017/11/8 15:57,5, 本科,北京,"“互联网大咖,地铁周边,七险一金,团建丰富”",1510127820,,
技术,后端开发,Java,JAVA开发工程师,文思海辉,15,2017/11/8 14:28,5, 本科,北京,"“六险一金,带薪年假,周末双休,公司氛围好”",1510122480,,
技术,后端开发,Java,Java,乐天创研,21,2017/11/8 9:26,3, 本科,上海,“出国培训，跨境电商，不加班，14薪”,1510104360,,
技术,后端开发,Java,Java,壹米滴答,15,2017/11/8 8:38,5, 大专,上海,“新平台 新机遇 新挑战”,1510101480,,
技术,后端开发,Java,Java开发工程师,链家上海研发中心,14,2017/11/7 0:00,3, 本科,上海,“大平台 新项目 成长多”,1509984000,,
技术,后端开发,Java,Java工程师,洋钱罐,10,2017/11/8 17:37,1, 本科,北京,"“互金独角兽,技术驱动,工作氛围好,弹性工作制”",1510133820,,
技术,后端开发,Java,Java开发工程师,上海你我贷互联网金融信息服务,18,2017/11/8 16:09,3, 本科,上海,"“大牛云集,互联网金融,分布式开发,美女众多”",1510128540,,
技术,后端开发,Java,Java开发工程师,开科唯识,7,2017/11/8 11:18,1, 本科,佛山,"“五险一金,金融项目,弹性工作,晋升空间”",1510111080,,
技术,后端开发,Java,Java,浙江执御信息技术有限公司,15,2017/11/8 9:11,3, 大专,杭州,"“扁平化管理,年终奖金,带薪休假,旅游活动”",1510103460,,
技术,后端开发,Java,Java开发,有鱼金融科技,15,2017/11/8 9:07,3, 本科,上海,“无限发挥空间，快来跟牛逼的团队一起战斗！”,1510103220,,
技术,后端开发,Java,Java工程师,ENJOY,15,2017/11/8 15:04,1, 本科,北京,"“弹性上班,零食无限,带薪年假,美女如云”",1510124640,,
技术,后端开发,Java,java开发工程师,京东商城,15,2017/11/8 14:01,3, 本科,北京,"“java,统招本科”",1510120860,,
技术,后端开发,Java,Java工程师,拉勾网,15,2017/11/6 0:00,5, 本科,北京,“技术挑战、工作居住证、美味果盘、运动健身”,1509897600,,
技术,后端开发,Java,java开发,泛微,13,2017/11/8 10:46,3, 本科,上海,“免费三餐、半年调薪 、国外旅游、项目奖金”,1510109160,,
技术,后端开发,Java,Java研发工程师,51社保网,12,2017/11/8 15:57,3, 本科,北京,"“互联网大咖,七险一金,地铁周边,团建丰富”",1510127820,,
技术,后端开发,Java,JAVA开发工程师,尚德机构,10,2017/11/8 14:32,3, 本科,北京,"“准上市公司,五险一金”",1510122720,,
技术,后端开发,Java,Java开发工程师,乐天创研,10,2017/11/8 9:26,3, 本科,大连,"“跨境电商,和谐稳定,出国培训,不加班”",1510104360,,
技术,后端开发,Java,Java开发工程师,链家上海研发中心,15,2017/11/7 0:00,3, 本科,上海,“万亿级O2O平台 一年两次调薪 季度奖金”,1509984000,,
技术,后端开发,Java,Java,壹米滴答,15,2017/11/8 8:38,3, 本科,上海,“福利待遇好、员工旅游、交社保”,1510101480,,
技术,后端开发,Java,Java工程师,洋钱罐,10,2017/11/8 17:39,1, 硕士,北京,"“技术分享,年底双薪,技术驱动,氛围轻松”",1510133940,,
技术,后端开发,Java,Java开发,有鱼金融科技,15,2017/11/8 11:58,1, 本科,上海,“准上市公司 互联网文化 扁平化管理”,1510113480,,
技术,后端开发,Java,JAVA,大众出行,15,2017/11/8 11:39,3, 本科,上海,"“五险一金,自由工时制,绩效奖金,公司午餐”",1510112340,,
技术,后端开发,Java,Java开发工程师,江苏亿科达,10,2017/11/8 9:41,3, 大专,上海,"“五险一金,年终奖,体检旅游,过节费”",1510105260,,
技术,后端开发,Java,Java开发工程师,zilliz,15,2017/11/8 9:17,3, 本科,上海,"“丰厚期权,行业高薪,前沿技术,精英团队”",1510103820,,
技术,后端开发,Java,java开发工程师,金证股份,7,2017/11/8 14:40,3, 本科,上海,"“假期多,加班少,环境好,旅游”",1510123200,,
技术,后端开发,Java,Java工程师,上海西信,7,2017/11/8 10:38,3, 本科,乌鲁木齐,“团队NICE+十三薪+年终奖”,1510108680,,
技术,后端开发,Java,Java开发工程师,360,15,2017/10/18 0:00,3, 本科,北京,“团队专业，福利好，有班车，管三餐”,1508256000,,
技术,后端开发,Java,Java,拉勾网,15,2017/11/6 0:00,3, 本科,北京,“你将亲身经历企业服务领域独角兽的成长过程”,1509897600,,
技术,后端开发,Java,java开发工程师,泛微,13,2017/11/8 10:46,3, 本科,上海,“美味三餐 全球游 半年调薪 氛围轻松”,1510109160,,
技术,后端开发,Java,Java开发工程师,链家上海研发中心,15,2017/11/7 0:00,3, 本科,上海,“万亿级O2O平台 一年两次调薪 半年度奖金”,1509984000,,
技术,后端开发,Java,Java工程师,有鱼金融科技,12,2017/11/8 9:07,3, 本科,上海,“快来跟牛逼的团队一起战斗！”,1510103220,,
技术,后端开发,Java,java工程师,桔子分期,20,2017/11/8 18:24,3, 本科,北京,“丰厚的福利待遇 完善的发展平台”,1510136640,,
技术,后端开发,Java,Java开发工程师,远传技术,15,2017/11/8 17:34,5, 本科,杭州,"“五险一金,餐补,年终奖金,定期体检”",1510133640,,
技术,后端开发,Java,Java工程师,宗盛智能,13,2017/11/8 17:04,1, 大专,杭州,“娃哈哈 自动售货机 互联网+ 发展空间大”,1510131840,,
技术,后端开发,Java,JAVA开发工程师,新致软件,13,2017/11/8 8:32,3, 大专,杭州,“五险一金 补充商业保险 年度旅游 工会活动”,1510101120,,
