Job_name,class_one,class_two,class_three,job_company,low_salary,low _year,job_edu,job_area,second_time
中级java工程师,技术,后端开发,Java,INK 银客集团,15,3, 本科,北京,1509897600
JAVA开发工程师,技术,后端开发,Java,贝米钱包,15,0, 本科,上海,1510130040
Java开发工程师,技术,后端开发,Java,拉勾网,15,3, 本科,北京,1510107960
JAVA,技术,后端开发,Java,曙奇互娱,13,3, 本科,上海,1510125540
Java开发,技术,后端开发,Java,泛微,15,3, 本科,上海,1510109160
Java开发工程师,技术,后端开发,Java,中金支付有限公司,10,1, 本科,北京,1509552000
Java开发,技术,后端开发,Java,灿福科技,12,3, 本科,上海,1510137360
Java研发,技术,后端开发,Java,上海宏鹿信息技术服务有限公司,15,3, 本科,上海,1510138560
java开发工程师,技术,后端开发,Java,小米,18,3, 本科,北京,1510135320
java开发工程师,技术,后端开发,Java,尚德机构,15,3, 本科,武汉,1510119000
Java开发工程师,技术,后端开发,Java,有鱼金融科技,16,3, 本科,上海,1510102620
JAVA工程师,技术,后端开发,Java,桔子分期,8,3, 本科,大连,1510136640
Java开发工程师,技术,后端开发,Java,CLPS,14,3, 本科,广州,1510132440
JAVA工程师,技术,后端开发,Java,51社保网,18,5, 本科,北京,1510127820
Java开发,技术,后端开发,Java,文思海辉,10,3, 大专,杭州,1510126140
Java工程师,技术,后端开发,Java,拉勾网,15,3, 本科,北京,1509897600
java开发,技术,后端开发,Java,泛微,12,1, 本科,上海,1510109160
JAVA开发工程师,技术,后端开发,Java,尚德机构,15,1, 本科,武汉,1510112280
Java开发工程师,技术,后端开发,Java,51社保网,18,5, 本科,北京,1510127820
JAVA开发工程师,技术,后端开发,Java,文思海辉,15,5, 本科,北京,1510122480
Java,技术,后端开发,Java,乐天创研,21,3, 本科,上海,1510104360
Java,技术,后端开发,Java,壹米滴答,15,5, 大专,上海,1510101480
Java开发工程师,技术,后端开发,Java,链家上海研发中心,14,3, 本科,上海,1509984000
Java工程师,技术,后端开发,Java,洋钱罐,10,1, 本科,北京,1510133820
Java开发工程师,技术,后端开发,Java,上海你我贷互联网金融信息服务,18,3, 本科,上海,1510128540
Java开发工程师,技术,后端开发,Java,开科唯识,7,1, 本科,佛山,1510111080
Java,技术,后端开发,Java,浙江执御信息技术有限公司,15,3, 大专,杭州,1510103460
Java开发,技术,后端开发,Java,有鱼金融科技,15,3, 本科,上海,1510103220
Java工程师,技术,后端开发,Java,ENJOY,15,1, 本科,北京,1510124640
java开发工程师,技术,后端开发,Java,京东商城,15,3, 本科,北京,1510120860
Java工程师,技术,后端开发,Java,拉勾网,15,5, 本科,北京,1509897600
java开发,技术,后端开发,Java,泛微,13,3, 本科,上海,1510109160
Java研发工程师,技术,后端开发,Java,51社保网,12,3, 本科,北京,1510127820
JAVA开发工程师,技术,后端开发,Java,尚德机构,10,3, 本科,北京,1510122720
Java开发工程师,技术,后端开发,Java,乐天创研,10,3, 本科,大连,1510104360
Java开发工程师,技术,后端开发,Java,链家上海研发中心,15,3, 本科,上海,1509984000
Java,技术,后端开发,Java,壹米滴答,15,3, 本科,上海,1510101480
Java工程师,技术,后端开发,Java,洋钱罐,10,1, 硕士,北京,1510133940
Java开发,技术,后端开发,Java,有鱼金融科技,15,1, 本科,上海,1510113480
JAVA,技术,后端开发,Java,大众出行,15,3, 本科,上海,1510112340
Java开发工程师,技术,后端开发,Java,江苏亿科达,10,3, 大专,上海,1510105260
